0:	1.334043366242E-05
1:	3.133182396364E-05
2:	5.295844046788E-05
3:	6.880458316898E-05
4:	7.831789846228E-05
5:	9.087900674046E-05
6:	1.082490195835E-04
7:	1.244059513484E-04
8:	1.374577899238E-04
9:	1.492246982456E-04
10:	1.631415435450E-04
11:	1.772922472792E-04
12:	1.908095361203E-04
13:	2.033533532368E-04
14:	2.155496122078E-04
15:	2.293514734700E-04
16:	2.429897917390E-04
17:	2.552242876954E-04
18:	2.678671258914E-04
19:	2.805474170670E-04
20:	2.936913064542E-04
21:	3.075761890305E-04
22:	3.218298361613E-04
23:	3.371239321443E-04
24:	3.522667871941E-04
25:	3.670663970615E-04
26:	3.814532219939E-04
27:	3.961917537819E-04
28:	4.114682895481E-04
29:	4.267125092091E-04
30:	4.419043003019E-04
31:	4.569593497596E-04
32:	4.721361686102E-04
33:	4.874782133570E-04
34:	5.028581774439E-04
35:	5.184300582352E-04
36:	5.340482755197E-04
37:	5.496274522615E-04
38:	5.652737718378E-04
39:	5.809555573053E-04
40:	5.968623482282E-04
41:	6.129290605132E-04
42:	6.290233546281E-04
43:	6.451653004870E-04
44:	6.614401344013E-04
45:	6.780558360932E-04
46:	6.947846876481E-04
47:	7.117818868359E-04
48:	7.289789368289E-04
49:	7.462889402580E-04
50:	7.637292667975E-04
51:	7.813052727935E-04
52:	7.989894638204E-04
53:	8.168092154290E-04
54:	8.347427389491E-04
55:	8.527960099943E-04
56:	8.709691018038E-04
57:	8.892445775772E-04
58:	9.076431061818E-04
59:	9.261553455935E-04
60:	9.447796521201E-04
61:	9.635160170099E-04
62:	9.823636790227E-04
63:	1.001330577568E-03
64:	1.020412104452E-03
65:	1.039610932712E-03
66:	1.058936633325E-03
67:	1.078384485523E-03
68:	1.097955485984E-03
69:	1.117649244437E-03
70:	1.137464235659E-03
71:	1.157401797225E-03
72:	1.177461627843E-03
73:	1.197648847763E-03
74:	1.217963396691E-03
75:	1.238435477587E-03
76:	1.259048558390E-03
77:	1.279791786676E-03
78:	1.300666413687E-03
79:	1.321670472154E-03
80:	1.342808757234E-03
81:	1.364072512956E-03
82:	1.385460468648E-03
83:	1.406975408633E-03
84:	1.428611090198E-03
85:	1.450370181912E-03
86:	1.472245927333E-03
87:	1.494237071019E-03
88:	1.516337260007E-03
89:	1.538546131684E-03
90:	1.560860738982E-03
91:	1.583277559720E-03
92:	1.605799602855E-03
93:	1.628420433940E-03
94:	1.651134665943E-03
95:	1.673946172050E-03
96:	1.696852956391E-03
97:	1.719850748769E-03
98:	1.742939271240E-03
99:	1.766114678228E-03
100:	1.789373156403E-03
101:	1.812716256668E-03
102:	1.836140553673E-03
103:	1.859644935040E-03
